"DateTime","Depth","conc_H_molpl","pH"
"2017-09-18",21,5.75439937337157e-07,6.24
"2017-09-18",11.5,3.46736850452532e-07,6.46
"2017-09-18",4.5,7.41310241300918e-08,7.13
"2017-08-22",3.5,8.91250938133746e-08,7.05
"2017-08-22",10.5,1.69824365246175e-07,6.77
"2017-08-22",19,4.57088189614875e-07,6.34
"2017-07-18",8,1.94984459975805e-07,6.71
"2017-07-18",20,3.46736850452532e-07,6.46
"2017-07-18",3,1.20226443461741e-07,6.92
"2017-06-20",7.5,1.77827941003892e-07,6.75
"2017-06-20",21,2.29086765276777e-07,6.64
"2017-06-20",2,9.77237220955811e-08,7.01
"2016-09-28",13.5,3.8904514499428e-07,6.41
"2016-09-28",23,5.62341325190349e-07,6.25
"2016-09-28",5.5,7.76247116628691e-08,7.11
"2016-08-23",21.5,5.12861383991365e-07,6.29
"2016-08-23",11.5,2.75422870333817e-07,6.56
"2016-08-23",4.5,7.94328234724282e-08,7.1
"2016-07-18",20.5,4.07380277804113e-07,6.39
"2016-07-18",3,6.91830970918936e-08,7.16
"2016-07-18",9,1.20226443461741e-07,6.92
"2016-06-21",4.5,7.94328234724282e-08,7.1
"2016-06-21",20.5,1.90546071796325e-07,6.72
"2016-06-21",9.5,9.3325430079699e-08,7.03
"2016-05-31",5.5,8.70963589956081e-08,7.06
"2016-05-31",18.5,1.77827941003892e-07,6.75
"2016-05-31",2,1e-07,7
"2015-09-21",12,3.31131121482591e-07,6.48
"2015-09-21",4,1.44543977074593e-07,6.84
"2015-09-21",22,5.12861383991365e-07,6.29
"2015-08-10",4,1.94984459975805e-07,6.71
"2015-08-10",10,2.23872113856834e-07,6.65
"2015-08-10",22,4.57088189614875e-07,6.34
"2015-07-20",2,1.90546071796325e-07,6.72
"2015-07-20",9,1.69824365246175e-07,6.77
"2015-07-20",22,3.63078054770101e-07,6.44
"2015-06-22",22,3.38844156139203e-07,6.47
"2015-06-22",3,2.88403150312661e-07,6.54
"2015-06-22",10,2.81838293126445e-07,6.55
"2014-09-15",22,6.76082975391982e-07,6.17
"2014-09-15",12,4.89778819368447e-07,6.31
"2014-09-15",5,1.81970085860998e-07,6.74
"2014-08-19",4,1.81970085860998e-07,6.74
"2014-08-19",11,5.49540873857625e-07,6.26
"2014-08-19",22,6.91830970918936e-07,6.16
"2014-07-22",3,2.81838293126445e-07,6.55
"2014-07-22",10,3.63078054770101e-07,6.44
"2014-07-22",22,6.30957344480193e-07,6.2
"2014-06-09",2,3.46736850452532e-07,6.46
"2014-06-09",21,5.75439937337157e-07,6.24
"2014-06-09",6,3.01995172040202e-07,6.52
"2014-05-27",12,1.25892541179417e-07,6.9
"2014-05-27",22,1.31825673855641e-07,6.88
"2014-05-27",6,1.28824955169313e-07,6.89
"2013-09-17",22,8.91250938133746e-07,6.05
"2013-09-17",11,7.58577575029184e-07,6.12
"2013-09-17",4,2.88403150312661e-07,6.54
"2013-08-19",23,1.02329299228075e-06,5.99
"2013-08-19",11,3.16227766016838e-07,6.5
"2013-08-19",4,1.94984459975805e-07,6.71
"2013-07-15",8,3.16227766016838e-07,6.5
"2013-07-15",0,4.78630092322638e-07,6.32
"2013-07-15",22,3.71535229097173e-07,6.43
"2013-06-17",4,4.07380277804113e-07,6.39
"2013-06-17",9,4.07380277804113e-07,6.39
"2013-06-17",21,5.12861383991365e-07,6.29
"2012-09-17",4,3.38844156139203e-07,6.47
"2012-09-17",11,5.75439937337157e-07,6.24
"2012-09-17",22,9.1201083935591e-07,6.04
"2012-08-20",10,6.91830970918936e-07,6.16
"2012-08-20",4,3.38844156139203e-07,6.47
"2012-08-20",22,1.90546071796325e-06,5.72
"2012-07-23",3,2.57039578276886e-07,6.59
"2012-07-23",10,1.94984459975805e-07,6.71
"2012-07-23",23,5.75439937337157e-07,6.24
"2012-06-19",3,1.34896288259165e-06,5.87
"2012-06-19",20,5.24807460249772e-07,6.28
"2012-06-19",8,3.71535229097173e-07,6.43
"2012-05-23",18,1.62181009735893e-07,6.79
"2012-05-23",6,1.51356124843621e-07,6.82
"2012-05-23",2,1.65958690743756e-07,6.78
"2011-09-19",22,9.33254300796991e-07,6.03
"2011-09-19",4,1.86208713666287e-07,6.73
"2011-09-19",12,7.41310241300918e-07,6.13
"2011-08-18",14,7.58577575029184e-07,6.12
"2011-08-18",10,3.80189396320561e-07,6.42
"2011-08-18",4,1.34896288259165e-07,6.87
"2011-07-19",4,1.41253754462276e-07,6.85
"2011-07-19",22,4.46683592150963e-07,6.35
"2011-07-19",10,2.51188643150958e-07,6.6
"2011-06-21",8,2.34422881531992e-07,6.63
"2011-06-21",22,4.67735141287198e-07,6.33
"2011-06-21",2,1.99526231496888e-07,6.7
"2011-05-31",18,4.46683592150963e-07,6.35
"2011-05-31",6,2.63026799189538e-07,6.58
"2011-05-31",2,1.47910838816821e-07,6.83
"2010-09-13",12,3.8904514499428e-07,6.41
"2010-09-13",20,6.60693448007596e-07,6.18
"2010-09-13",6,1.34896288259165e-07,6.87
"2010-08-17",11,3.01995172040202e-07,6.52
"2010-08-17",4,1.62181009735893e-07,6.79
"2010-08-17",20,5.12861383991365e-07,6.29
"2010-07-12",2,1.90546071796325e-07,6.72
"2010-07-12",20,4.78630092322638e-07,6.32
"2010-07-12",8,2.29086765276777e-07,6.64
"2010-06-02",18,1.69824365246175e-07,6.77
"2010-06-02",7,1.17489755493953e-07,6.93
"2010-06-02",2,1.34896288259165e-07,6.87
"2009-10-05",22,1.12201845430196e-06,5.95
"2009-10-05",13,8.91250938133746e-07,6.05
"2009-10-05",6,1.58489319246111e-07,6.8
"2009-09-01",11,4.57088189614875e-07,6.34
"2009-09-01",4,2.08929613085404e-07,6.68
"2009-09-01",21,6.30957344480193e-07,6.2
"2009-08-12",4,1.65958690743756e-07,6.78
"2009-08-12",10,3.31131121482591e-07,6.48
"2009-08-12",22,6.30957344480193e-07,6.2
"2009-07-13",9,3.16227766016838e-07,6.5
"2009-07-13",4,1.86208713666287e-07,6.73
"2009-07-13",19,5.37031796370253e-07,6.27
"2009-06-22",4,1.07151930523761e-07,6.97
"2009-06-22",9,1.41253754462276e-07,6.85
"2009-06-22",20,3.09029543251359e-07,6.51
"2009-05-26",4,1.23026877081238e-07,6.91
"2009-05-26",8,1.38038426460288e-07,6.86
"2009-05-26",19,2.39883291901949e-07,6.62
"2008-09-02",22,1.62181009735893e-07,6.79
"2008-09-02",4,1.41253754462276e-07,6.85
"2008-09-02",11,5.88843655355588e-07,6.23
"2008-07-29",22,5.49540873857625e-07,6.26
"2008-07-29",3,1.20226443461741e-07,6.92
"2008-07-29",10,3.31131121482591e-07,6.48
"2008-07-01",3,8.91250938133746e-08,7.05
"2008-07-01",21,3.46736850452532e-07,6.46
"2008-07-01",9,1.31825673855641e-07,6.88
"2008-06-03",20,3.01995172040202e-07,6.52
"2008-06-03",12,2.63026799189538e-07,6.58
"2008-06-03",4,1.28824955169313e-07,6.89
"2007-09-11",4,3.23593656929628e-07,6.49
"2007-09-11",12,1.07151930523761e-06,5.97
"2007-09-11",22,1.31825673855641e-06,5.88
"2007-08-14",4,2.75422870333817e-07,6.56
"2007-08-14",8,3.98107170553497e-07,6.4
"2007-08-14",20,7.41310241300918e-07,6.13
"2007-07-16",22,8.128305161641e-07,6.09
"2007-07-16",10,6.02559586074358e-07,6.22
"2007-07-16",4,2.88403150312661e-07,6.54
"2007-06-11",7,2.39883291901949e-07,6.62
"2007-06-11",4,2.57039578276886e-07,6.59
"2007-06-11",10,3.80189396320561e-07,6.42
"2006-10-09",6,3.46736850452532e-07,6.46
"2006-10-09",22,1.38038426460288e-06,5.86
"2006-10-09",13,1.14815362149688e-06,5.94
"2006-09-11",20,1.23026877081238e-06,5.91
"2006-09-11",4,1.47910838816821e-06,5.83
"2006-09-11",10,8.128305161641e-07,6.09
"2006-07-24",3,4.36515832240166e-07,6.36
"2006-07-24",10,1.09647819614319e-06,5.96
"2006-07-24",20,1.54881661891248e-06,5.81
"2006-07-05",3,2.45470891568503e-07,6.61
"2006-07-05",8,6.60693448007596e-07,6.18
"2006-07-05",17,6.02559586074358e-07,6.22
"2006-05-31",6,2.95120922666638e-07,6.53
"2006-05-31",2,3.09029543251359e-07,6.51
"2006-05-31",17,4.26579518801593e-07,6.37
"2005-09-14",4,1.25892541179417e-07,6.9
"2005-09-14",21,7.94328234724282e-07,6.1
"2005-09-14",10,3.98107170553497e-07,6.4
"2005-08-22",3,2.08929613085404e-07,6.68
"2005-08-22",9,3.54813389233575e-07,6.45
"2005-08-22",20,8.70963589956081e-07,6.06
"2005-07-25",7,4.16869383470336e-07,6.38
"2005-07-25",2,3.01995172040202e-07,6.52
"2005-07-25",18,7.58577575029184e-07,6.12
"2005-06-27",22,3.63078054770101e-07,6.44
"2005-06-27",2,2.08929613085404e-07,6.68
"2005-06-27",10,4.26579518801593e-07,6.37
"2004-09-20",5,1.41253754462276e-07,6.85
"2004-09-20",24,9.54992586021437e-07,6.02
"2004-09-20",13,7.07945784384137e-07,6.15
"2004-08-23",11,3.98107170553497e-07,6.4
"2004-08-23",19,6.30957344480193e-07,6.2
"2004-08-23",4,1.41253754462276e-07,6.85
"2004-07-26",4,1.17489755493953e-07,6.93
"2004-07-26",10,2.81838293126445e-07,6.55
"2004-07-26",0,4.16869383470336e-07,6.38
"2004-06-21",9,2.34422881531992e-07,6.63
"2004-06-21",18,3.8904514499428e-07,6.41
"2004-06-21",2,1.73780082874938e-07,6.76
"2004-05-25",20,3.16227766016838e-07,6.5
"2004-05-25",8,1.65958690743756e-07,6.78
"2004-05-25",4,1.54881661891248e-07,6.81
"2003-09-22",22,6.91830970918936e-07,6.16
"2003-09-22",4,1.73780082874938e-07,6.76
"2003-09-22",12,3.80189396320561e-07,6.42
"2003-08-18",22,5.75439937337157e-07,6.24
"2003-08-18",10,2.13796208950223e-07,6.67
"2003-08-18",4,1.86208713666287e-07,6.73
"2003-07-30",21,4.46683592150963e-07,6.35
"2003-07-30",3,1.38038426460288e-07,6.86
"2003-07-30",9,1.77827941003892e-07,6.75
"2003-06-23",2,1.65958690743756e-07,6.78
"2003-06-23",8,1.81970085860998e-07,6.74
"2003-06-23",20,4.16869383470336e-07,6.38
"2002-09-30",6,1.31825673855641e-07,6.88
"2002-09-30",14,3.09029543251359e-07,6.51
"2002-09-30",22,4.67735141287198e-07,6.33
"2002-08-19",21,4.16869383470336e-07,6.38
"2002-08-19",4,1.17489755493953e-07,6.93
"2002-08-19",10,1.38038426460288e-07,6.86
"2002-07-29",4,1.17489755493953e-07,6.93
"2002-07-29",10,1.58489319246111e-07,6.8
"2002-07-29",21,4.07380277804113e-07,6.39
"2002-06-17",20,2.34422881531992e-07,6.63
"2002-06-17",10,1.77827941003892e-07,6.75
"2002-06-17",4,1.81970085860998e-07,6.74
"2001-09-17",4,1.51356124843621e-07,6.82
"2001-09-17",12,2.34422881531992e-07,6.63
"2001-09-17",22,3.8904514499428e-07,6.41
"2001-08-21",22,5.01187233627272e-07,6.3
"2001-08-21",10,2.34422881531992e-07,6.63
"2001-08-21",4,1.44543977074593e-07,6.84
"2001-07-23",4,1.51356124843621e-07,6.82
"2001-07-23",20,3.31131121482591e-07,6.48
"2001-07-23",10,1.86208713666287e-07,6.73
"2001-06-25",20,2.45470891568503e-07,6.61
"2001-06-25",2,2.04173794466953e-07,6.69
"2001-06-25",8,1.62181009735893e-07,6.79
"2001-05-30",4,1.51356124843621e-07,6.82
"2000-10-03",NA,1.28824955169313e-06,5.89
"2000-10-03",NA,2.63026799189538e-07,6.58
"2000-10-03",NA,1.34896288259165e-06,5.87
"2000-09-06",NA,1.31825673855641e-07,6.88
"2000-09-06",NA,5.75439937337157e-07,6.24
"2000-09-06",NA,6.30957344480193e-07,6.2
"2000-08-13",NA,1.94984459975805e-07,6.71
"2000-08-13",NA,6.91830970918936e-07,6.16
"2000-08-13",NA,4.36515832240166e-07,6.36
"2000-07-24",NA,6.02559586074358e-07,6.22
"2000-07-24",NA,4.36515832240166e-07,6.36
"2000-07-24",NA,2.29086765276777e-07,6.64
"2000-07-06",NA,2.18776162394955e-07,6.66
"2000-07-06",NA,1.54881661891248e-07,6.81
"2000-07-06",NA,3.46736850452532e-07,6.46
"2000-06-14",NA,2.69153480392691e-07,6.57
"2000-06-14",NA,1.94984459975805e-07,6.71
"2000-06-14",NA,1.54881661891248e-07,6.81
"1999-10-12",NA,7.41310241300918e-07,6.13
"1999-10-12",NA,1.65958690743756e-07,6.78
"1999-10-12",NA,9.33254300796991e-07,6.03
"1999-09-22",NA,9.54992586021437e-07,6.02
"1999-09-22",NA,6.76082975391982e-07,6.17
"1999-09-22",NA,2.08929613085404e-07,6.68
"1999-09-02",NA,2.81838293126445e-07,6.55
"1999-09-02",NA,5.62341325190349e-07,6.25
"1999-09-02",NA,3.71535229097173e-07,6.43
"1999-08-10",NA,5.62341325190349e-07,6.25
"1999-08-10",NA,2.45470891568503e-07,6.61
"1999-08-10",NA,3.01995172040202e-07,6.52
"1999-07-20",NA,1.65958690743756e-07,6.78
"1999-07-20",NA,3.63078054770101e-07,6.44
"1999-06-28",NA,2.88403150312661e-07,6.54
"1999-06-28",NA,1.44543977074593e-07,6.84
"1999-06-28",NA,4.36515832240166e-07,6.36
"1999-06-07",NA,1.17489755493953e-07,6.93
"1999-06-07",NA,2.18776162394955e-07,6.66
"1999-06-07",NA,2.81838293126445e-07,6.55
"1998-09-28",NA,7.24435960074991e-07,6.14
"1998-09-28",NA,2.45470891568503e-07,6.61
"1998-09-09",NA,1.73780082874938e-07,6.76
"1998-09-09",NA,4.26579518801593e-07,6.37
"1998-09-09",NA,6.30957344480193e-07,6.2
"1998-08-18",NA,4.36515832240166e-07,6.36
"1998-08-18",NA,2.13796208950223e-07,6.67
"1998-08-18",NA,2.04173794466953e-07,6.69
"1998-07-29",NA,5.49540873857625e-07,6.26
"1998-07-29",NA,4.26579518801593e-07,6.37
"1998-07-29",NA,1.31825673855641e-07,6.88
"1998-07-06",NA,2.08929613085404e-07,6.68
"1998-07-06",NA,1.90546071796325e-07,6.72
"1998-07-06",NA,3.54813389233575e-07,6.45
"1998-06-16",NA,1.28824955169313e-07,6.89
"1998-06-16",NA,2.51188643150958e-07,6.6
"1998-06-16",NA,4.26579518801593e-07,6.37
"1998-05-27",NA,2.75422870333817e-07,6.56
"1998-05-27",NA,1.51356124843621e-07,6.82
"1998-05-27",NA,1.51356124843621e-07,6.82
"1997-10-06",NA,1.0471285480509e-06,5.98
"1997-10-06",NA,2.04173794466953e-07,6.69
"1997-10-06",NA,1.25892541179417e-06,5.9
"1997-09-10",NA,6.16595001861482e-07,6.21
"1997-09-10",NA,2.08929613085404e-07,6.68
"1997-09-10",NA,1.81970085860998e-07,6.74
"1997-08-12",NA,1.07151930523761e-06,5.97
"1997-08-12",NA,2.57039578276886e-07,6.59
"1997-08-12",NA,6.76082975391982e-07,6.17
"1997-07-22",NA,5.62341325190349e-07,6.25
"1997-07-22",NA,1.31825673855641e-06,5.88
"1997-07-22",NA,8.51138038202376e-07,6.07
"1997-07-07",NA,1.09647819614319e-07,6.96
"1997-07-07",NA,3.09029543251359e-07,6.51
"1997-07-07",NA,4.46683592150963e-07,6.35
"1997-06-03",NA,1.54881661891248e-07,6.81
"1997-06-03",NA,1.31825673855641e-07,6.88
"1997-06-03",NA,1.44543977074593e-07,6.84
"1996-10-02",NA,6.30957344480193e-07,6.2
"1996-10-02",NA,3.8904514499428e-07,6.41
"1996-10-02",NA,1.12201845430196e-07,6.95
"1996-09-04",NA,6.02559586074358e-07,6.22
"1996-09-04",NA,1.44543977074593e-07,6.84
"1996-09-04",NA,7.07945784384137e-07,6.15
"1996-08-14",NA,1.47910838816821e-07,6.83
"1996-08-14",NA,7.58577575029184e-07,6.12
"1996-08-14",NA,1.99526231496888e-06,5.7
"1996-07-24",NA,5.24807460249772e-07,6.28
"1996-07-24",NA,1.12201845430196e-07,6.95
"1996-07-24",NA,3.71535229097173e-07,6.43
"1996-07-02",NA,9.77237220955811e-08,7.01
"1996-07-02",NA,8.91250938133746e-08,7.05
"1996-07-02",NA,2.63026799189538e-07,6.58
"1996-06-12",NA,1.0471285480509e-07,6.98
"1996-06-12",NA,1.0471285480509e-07,6.98
"1996-06-12",NA,2.81838293126445e-07,6.55
"1996-05-22",NA,1.17489755493953e-07,6.93
"1996-05-22",NA,2.13796208950223e-07,6.67
"1996-05-22",NA,1.41253754462276e-07,6.85
"1995-09-30",NA,7.07945784384137e-07,6.15
"1995-09-30",NA,1.14815362149688e-07,6.94
"1995-09-30",NA,2.13796208950223e-07,6.67
"1995-09-05",NA,1.69824365246175e-07,6.77
"1995-09-05",NA,1.28824955169313e-07,6.89
"1995-09-05",NA,1.09647819614319e-07,6.96
"1995-08-10",NA,5.49540873857625e-07,6.26
"1995-08-10",NA,7.41310241300918e-08,7.13
"1995-08-10",NA,1.44543977074593e-07,6.84
"1995-07-13",NA,2.88403150312661e-07,6.54
"1995-07-13",NA,1.69824365246175e-07,6.77
"1995-07-13",NA,6.91830970918936e-08,7.16
"1995-06-16",NA,1.09647819614319e-07,6.96
"1995-06-16",NA,1.44543977074593e-07,6.84
"1995-06-16",NA,2.95120922666638e-07,6.53
"1995-05-26",NA,1.51356124843621e-07,6.82
"1995-05-26",NA,1.65958690743756e-07,6.78
"1995-05-26",NA,1.86208713666287e-07,6.73
"1995-03-10",NA,1.25892541179417e-07,6.9
"1995-03-10",NA,1.51356124843621e-07,6.82
"1994-09-14",NA,1.94984459975805e-07,6.71
"1994-09-14",NA,7.58577575029184e-07,6.12
"1994-09-14",NA,9.33254300796991e-07,6.03
