date,station,weather,source
2002-09-30,230,"Cloudy, Breezy",DO/Temperature record
2002-09-30,220,"Cloudy, Sl. Breeze",DO/Temperature record
2002-09-30,210,"Cloudy, Breezy",DO/Temperature record
2002-09-30,200,"Cloudy, Breezy",DO/Temperature record
2003-06-23,230,"Clear, Calm",DO/Temperature record
2003-06-23,220,"Partly Cloudy, Calm",DO/Temperature record
2003-06-23,210,"Partly Cloudy, Calm",DO/Temperature record
2003-06-23,200,"Partly Cloudy, Calm",DO/Temperature record
2003-08-18,230,"Partly Cloudy, breezy",DO/Temperature record
2003-08-18,220,"Partly Cloudy, breezy",DO/Temperature record
2003-08-18,210,"Partly Cloudy, breezy",DO/Temperature record
2003-08-18,200,"Partly Cloudy, Calm",DO/Temperature record
2003-09-22,230,"Partly Cloudy, Windy",DO/Temperature record
2003-09-22,220,"Partly Cloudy, Windy",DO/Temperature record
2003-09-22,210,"Clear, calm, warm",DO/Temperature record
2003-09-22,200,"Partly cloudy, calm, cool",DO/Temperature record
2004-05-25,220,"Overcast, Breezy",DO/Temperature record
2004-05-25,210,"Overcast, Breezy",DO/Temperature record
2004-05-25,200,"Overcast, breezy",DO/Temperature record
2004-06-21,220,"Clear, Breezy",DO/Temperature record
2004-06-21,210,"Clear, Breezy",DO/Temperature record
2004-06-21,200,"Clear, Breezy",DO/Temperature record
2004-06-24,230,"Clear, Breezy",DO/Temperature record
2004-07-26,230,"Partly Cloudy, Warm, Calm",DO/Temperature record
2004-07-26,220,"Partly Cloudy, Warm, Ripples",DO/Temperature record
2004-07-26,210,"Partly Cloudy, Warm,Calm",DO/Temperature record
2004-07-26,200,"Partly Cloudy, Warm Calm",DO/Temperature record
2004-08-23,230,"Clear, Breezy",DO/Temperature record
2004-08-23,220,"Hazy,Breezy",DO/Temperature record
2004-08-23,210,"Partly Cloudy, Breezy",DO/Temperature record
2004-08-23,200,"Partly Cloudy, Calm",DO/Temperature record
2004-08-24,200,"Partly Cloudy, Calm",DO/Temperature record
2004-09-20,230,"Clear, Breezy",DO/Temperature record
2004-09-20,210,"Clear, Breezy",DO/Temperature record
2004-09-20,220,"Clear, Breezy",DO/Temperature record
2004-09-20,200,"Clear, Breezy",DO/Temperature record
2005-06-27,230,"Partly Cloudy, Hazy",DO/Temperature record
2005-06-27,220,"Partly Cloudy, Hazy",DO/Temperature record
2005-06-27,210,"Partly Cloudy, Hazy",DO/Temperature record
2005-06-27,200,"Partly Cloudy, Hazy",DO/Temperature record
2005-07-02,230,"Overcast, Breezy, Lake At Norm",DO/Temperature record
2005-07-02,220,"Overcast, Breezy, Lake At Norm",DO/Temperature record
2005-07-25,230,"Overcast, Breezy, Lake At Norm",DO/Temperature record
2005-07-25,220,"Overcast, Breezy, Lake At Norm",DO/Temperature record
2005-07-25,210,"Overcast, Breezy, Lake At Norm",DO/Temperature record
2005-07-25,200,"Overcast, Breezy, Lake Level N",DO/Temperature record
2005-08-22,230,"Clear, Breezy, Warm",DO/Temperature record
2005-08-22,220,"Clear, Breezy, Warm",DO/Temperature record
2005-08-22,210,"Clear, Breezy, Warm",DO/Temperature record
2005-08-22,200,"Clear, Breezy, Warm",DO/Temperature record
2006-05-31,230,"Partly Cloudy, Calm",DO/Temperature record
2006-05-31,220,"Partly Cloudy, Windy",DO/Temperature record
2006-05-31,210,"Partly Cloudy, Calm",DO/Temperature record
2006-05-31,200,"Overcast, calm",DO/Temperature record
2006-07-05,230,"Partly Cloudy, Breezy",DO/Temperature record
2006-07-05,220,"Partly Cloudy, Breezy",DO/Temperature record
2006-07-05,210,"Partly Cloudy, Breezy",DO/Temperature record
2006-07-05,200,"Partly Cloudy, Breezy",DO/Temperature record
2006-07-24,230,"Partly Cloudy, breezy",DO/Temperature record
2006-07-24,220,"Partly Cloudy, breezy",DO/Temperature record
2006-07-24,210,"Partly Cloudy, breezy",DO/Temperature record
2006-07-24,200,"Partly Cloudy, breezy",DO/Temperature record
2006-08-15,230,"Overcast, breezy",DO/Temperature record
2006-08-15,220,"Overcast, breezy",DO/Temperature record
2006-08-15,210,"Overcast, breezy",DO/Temperature record
2006-08-15,200,"Overcast, breezy",DO/Temperature record
2006-09-11,230,"Clear, light breeze",DO/Temperature record
2006-09-11,220,"Clear, light breeze",DO/Temperature record
2006-09-11,210,"Partly Cloudy, Breezy",DO/Temperature record
2006-09-11,200,"Partly Cloudy, Breezy",DO/Temperature record
2006-10-09,220,"Clear, breezy",DO/Temperature record
2006-10-09,200,"Clear, calm",DO/Temperature record
2007-06-11,230,"Mostly Cloudy, Breezy",DO/Temperature record
2007-06-11,220,"Mostly Cloudy, Breezy",DO/Temperature record
2007-06-11,210,"Moslty Cloudy, Breezy",DO/Temperature record
2007-06-11,200,"Mostly Cloudy, Calm",DO/Temperature record
2007-07-16,230,Partly Cloudy,DO/Temperature record
2007-07-16,220,Clear,DO/Temperature record
2007-07-16,210,Clear,DO/Temperature record
2007-07-16,200,Clear,DO/Temperature record
2007-08-14,230,"Clear, Windy",DO/Temperature record
2007-08-14,220,"Clear, Windy",DO/Temperature record
2007-08-14,210,"Clear, Windy",DO/Temperature record
2007-08-14,200,"Partly Cloudy, Breezy",DO/Temperature record
2007-09-11,220,"Heavy, wind driven rain",DO/Temperature record
2007-09-11,210,"Heavy, wind driven rain",DO/Temperature record
2007-09-11,200,"Heavy, wind driven rain",DO/Temperature record
2007-10-15,200,"Partly Cloudy, Windy",DO/Temperature record
2008-06-03,230,"Overcast,Breezy, Small Waves",DO/Temperature record
2008-06-03,220,"Overcast, Breezy, Small Waves",DO/Temperature record
2008-06-03,210,"Overcast, Breezy",DO/Temperature record
2008-06-03,200,Partly,DO/Temperature record
2008-07-01,230,Partly Cloudy,DO/Temperature record
2008-07-01,220,"Partly Cloudy, Breezy",DO/Temperature record
2008-07-01,210,Partly Cloudy,DO/Temperature record
2008-07-01,200,Partly Cloudy,DO/Temperature record
2008-07-29,230,Partly Cloudy,DO/Temperature record
2008-07-29,220,Partly Cloudy,DO/Temperature record
2008-07-29,210,Clear and Calm,DO/Temperature record
2008-07-29,200,Clear and Calm,DO/Temperature record
2008-09-02,230,Clear,DO/Temperature record
2008-09-02,220,Partly Cloudy,DO/Temperature record
2008-09-02,210,Partly Cloudy,DO/Temperature record
2008-09-02,200,Partly Cloudy,DO/Temperature record
2009-05-26,200,"Clear, Breezy, Ripples",DO/Temperature record
2009-05-26,200,Clear and Breezy,DO/Temperature record
2009-05-26,220,Clear and Breezy,DO/Temperature record
2009-05-26,230,Clear and Breezy,DO/Temperature record
2009-05-26,210,Clear and Breezy,DO/Temperature record
2009-06-22,230,overcast & breezy,DO/Temperature record
2009-06-22,220,overcast & breezy,DO/Temperature record
2009-06-22,210,overcast & breezy,DO/Temperature record
2009-06-22,200,overcast & breezy,DO/Temperature record
2009-07-13,230,"Partly Cloudy, Ripples",DO/Temperature record
2009-07-13,220,"Partly Cloudy, Ripples",DO/Temperature record
2009-07-13,210,"Clear, Calm",DO/Temperature record
2009-07-13,200,"Clear, Calm",DO/Temperature record
2009-08-12,230,"Prtly Cldy, Calm",DO/Temperature record
2009-08-12,220,"Prtly Cldy, Breezy",DO/Temperature record
2009-08-12,210,"Overcast, Calm",DO/Temperature record
2009-08-12,200,"Prtly Cldy, Calm",DO/Temperature record
2009-09-01,230,"Clear, breezy, ripples.",DO/Temperature record
2009-09-01,220,"Clear, breezy, ripples.",DO/Temperature record
2009-09-01,210,"Clear, breezy, ripples.",DO/Temperature record
2009-09-01,200,"Clear, breezy, ripples.",DO/Temperature record
2009-10-05,210,"Ptly cldy, breezy, ripples.",DO/Temperature record
2010-06-02,230,"Partly Cloudy, Calm",DO/Temperature record
2010-06-02,220,"Partly Cloudy, Calm",DO/Temperature record
2010-06-02,210,"Partly Cloudy, Calm",DO/Temperature record
2010-06-02,200,"Partly Cloudy, Calm",DO/Temperature record
2010-07-12,200,"Clear, Calm, and ripples",DO/Temperature record
2010-08-17,200,"Clear, Calm, and ripples",DO/Temperature record
2010-09-13,200,"Overcast, Calm, and ripples",DO/Temperature record
2010-10-05,200,"Overcast, breezy, and ripples",DO/Temperature record
2011-05-31,230,"Overcast, calm, few ripples",DO/Temperature record
2011-05-31,210,"Overcast, calm, few ripples",DO/Temperature record
2011-05-31,200,"Overcast, calm, few ripples",DO/Temperature record
2011-05-31,220,"Overcast, calm, few ripples",DO/Temperature record
2011-06-21,230,"Overcast, calm, few ripples",DO/Temperature record
2011-06-21,210,"Overcast, calm, few ripples",DO/Temperature record
2011-06-21,200,"Overcast, calm, few ripples",DO/Temperature record
2011-06-21,220,"Overcast, calm, few ripples",DO/Temperature record
2011-07-19,230,"Clear, breezy, ripples",DO/Temperature record
2011-07-19,220,"Clear, breezy, ripples",DO/Temperature record
2011-07-19,210,"Clear, breezy, ripples",DO/Temperature record
2011-07-19,200,"Clear, breezy, ripples",DO/Temperature record
2011-08-17,230,"Clear, warm, and calm.",DO/Temperature record
2011-08-17,220,"Clear, warm, and calm.",DO/Temperature record
2011-08-17,210,"Clear, warm, and calm.",DO/Temperature record
2011-08-17,200,"Clear, warm, and calm.",DO/Temperature record
2012-05-23,210,"Sunny, Calm",DO/Temperature record
2012-05-23,200,"Sunny, Calm",DO/Temperature record
2012-06-19,230,Breezy with Ripples,DO/Temperature record
2012-06-19,220,Breezy with Ripples,DO/Temperature record
2012-06-19,210,Breezy with Ripples,DO/Temperature record
2012-06-19,200,Breezy with Ripples,DO/Temperature record
2012-07-23,230,"Calm, ripples",DO/Temperature record
2012-07-23,220,"Calm, ripples",DO/Temperature record
2012-07-23,210,"Calm, ripples",DO/Temperature record
2012-07-23,200,"Calm, ripples",DO/Temperature record
2012-08-20,230,"Sunny, small ripples",DO/Temperature record
2012-08-20,220,"Sunny, small ripples",DO/Temperature record
2012-08-20,210,"Sunny, small ripples",DO/Temperature record
2012-08-20,200,"Sunny, small ripples",DO/Temperature record
2012-09-17,230,"Clear, Ripples",DO/Temperature record
2012-09-17,220,"Clear, Ripples",DO/Temperature record
2012-09-17,210,"Clear, Ripples",DO/Temperature record
2012-09-17,200,"Clear, Ripples",DO/Temperature record
2013-06-17,230,"calm/breezy, small waves",DO/Temperature record
2013-06-17,220,"calm/breezy, small waves",DO/Temperature record
2013-06-17,210,"calm/breezy, small waves",DO/Temperature record
2013-06-17,200,"calm/breezy, small waves",DO/Temperature record
2013-06-17,200,"Clear, breezy-windy",DO/Temperature record
2013-07-15,230,"Calm, ripples",DO/Temperature record
2013-07-15,220,"Calm, ripples",DO/Temperature record
2013-07-15,210,"Calm, ripples",DO/Temperature record
2013-07-15,200,"Calm, ripples",DO/Temperature record
2013-08-19,230,"breezy wind, small waves",DO/Temperature record
2013-08-19,220,"breezy wind, ripples",DO/Temperature record
2013-08-19,210,"breezy wind, ripples",DO/Temperature record
2013-08-19,200,"calm wind, ripples",DO/Temperature record
2013-09-17,230,"Breezy, small waves",DO/Temperature record
2013-09-17,220,"Breezy, small waves",DO/Temperature record
2013-09-17,210,"Breezy, small waves",DO/Temperature record
2013-09-17,200,"Breezy, small waves",DO/Temperature record
2014-05-27,230,"Overcast, warm, calm",DO/Temperature record
2014-05-27,220,"Overcast, warm, calm",DO/Temperature record
2014-05-27,210,"Partly cloudy, warm, calm",DO/Temperature record
2014-06-09,230,"Overcast, breezy",DO/Temperature record
2014-06-09,220,"Overcast, calm",DO/Temperature record
2014-06-09,210,"Overcast, breezy",DO/Temperature record
2014-06-09,200,"Overcast, warm, calm",DO/Temperature record
2014-07-22,230,"partly cloudy, warm, breezy",DO/Temperature record
2014-07-22,220,"partly cloudy, warm, breezy",DO/Temperature record
2014-07-22,210,"partly cloudy, warm, breezy",DO/Temperature record
2014-07-22,200,"clear, warm, calm",DO/Temperature record
2014-08-19,210,"partly cloudy, warm, breezy",DO/Temperature record
2014-08-19,230,"partly cloudy, warm, breezy",DO/Temperature record
2014-08-19,220,"partly cloudy, warm, breezy",DO/Temperature record
2014-08-19,210,"clear, warm, breezy",DO/Temperature record
2014-08-19,200,"clear, warm, breezy",DO/Temperature record
2014-09-15,230,"Partly cloudy, cool, breezy",DO/Temperature record
2014-09-15,220,"Partly cloudy, cool, breezy",DO/Temperature record
2014-09-15,210,"Partly cloudy, cool, breezy",DO/Temperature record
2014-09-15,200,"Partly cloudy, cool, breezy",DO/Temperature record
2015-06-22,200,"breezy, ripples",DO/Temperature record
2015-06-22,230,"Cloudy, warm, breezy, ripples.",DO/Temperature record
2015-06-22,220,"Cloudy, warm, breezy, ripples.",DO/Temperature record
2015-06-22,210,"Cloudy, warm, breezy, ripples.",DO/Temperature record
2015-07-20,230,"Windy, Mod. waves",DO/Temperature record
2015-07-20,220,"Breezy, small waves",DO/Temperature record
2015-07-20,210,"Clear, calm, ripples",DO/Temperature record
2015-07-20,200,"Clear, calm, ripples",DO/Temperature record
2015-08-10,230,partly cloudy warm and calm,DO/Temperature record
2015-08-10,220,partly cloudy warm and calm,DO/Temperature record
2015-08-10,210,partly cloudy warm and calm,DO/Temperature record
2015-08-10,200,"warm, calm, ripples, normal",DO/Temperature record
2020-06-03,200,"partly cloudy, warm, calm, rip",DO/Temperature record
2020-06-03,210,"partly cloudy, warm, calm, rip",DO/Temperature record
2020-06-22,220,"hazy, warm, breezy, ripples",DO/Temperature record
2020-06-22,210,"overcast, warm, breezy, ripple",DO/Temperature record
2020-07-15,230,"overcast, warm, calm, ripples",DO/Temperature record
2020-07-15,210,"overcast, warm, calm, ripples",DO/Temperature record
2020-08-11,202,"clear, warm, calm, ripples",DO/Temperature record
2020-08-11,210,"clear, warm, calm, ripples",DO/Temperature record
2020-08-11,230,"clear, warm, calm, ripples",DO/Temperature record
2020-09-15,216,"clear, cool, breezy, ripples",DO/Temperature record
2020-09-15,210,"clear, cold calm, ripples",DO/Temperature record
2020-09-29,207,"clear, warm, calm",DO/Temperature record
2020-09-29,219,"clear, warm, calm",DO/Temperature record
2020-09-29,210,"clear, warm, calm",DO/Temperature record
