LAKE,TOWN,STATION,DATE,DEPTH,TEMP,DO,PCNTSAT,TIME,BOTTOMZ,WEATHER,Comments,ID,Date_Sta_Dp
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,21,9,2.3,20.7,,,,,19676,9172018230 21
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,20,9,2.77,24.9,,,,,19675,9172018230 20
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,19,9.1,3.34,30.1,,,,,19674,9172018230 19
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,18,9.2,3.55,32.1,,,,,19673,9172018230 18
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,17,9.3,3.76,34.1,,,,,19672,9172018230 17
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,16,9.7,3.93,36,,,,,19671,9172018230 16
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,15,10.1,4.5,41.6,,,,,19670,9172018230 15
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,14,10.7,4.66,43.7,,,,,19669,9172018230 14
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,13,11.8,5.5,52.9,,,,,19668,9172018230 13
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,12,13.4,7.07,70.4,,,,,19667,9172018230 12
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,11,15.1,8.4,86.9,,,,,19666,9172018230 11
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,10,18.6,8.3,92.3,,,,,19665,9172018230 10
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,9,20.8,7.84,91.1,,,,,19664,9172018230 9
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,8,21.1,8.1,94.8,,,,,19663,9172018230 8
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,7,21.4,8.18,96.1,,,,,19662,9172018230 7
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,6,21.6,8.26,97.5,,,,,19661,9172018230 6
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,5,21.8,8.27,98.1,,,,,19660,9172018230 5
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,4,22.2,8.31,99.3,,,,,19659,9172018230 4
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,3,22.5,8.28,99.5,,,,,19658,9172018230 3
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,2,22.7,8.32,100.3,,,,,19657,9172018230 2
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,1,22.8,8.33,100.7,,,,,19656,9172018230 1
"SUNAPEE, LAKE",SUNAPEE,230,17-Sep-18,0.5,22.8,8.34,100.8,,,,,19655,9172018230 .5
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,23,6.6,1.5,12.7,,,,,19654,9172018220 23
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,22,6.7,2.66,22.7,,,,,19653,9172018220 22
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,21,6.9,3.91,33.5,,,,,19652,9172018220 21
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,20,7.1,4.4,37.8,,,,,19651,9172018220 20
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,19,7.3,4.93,42.5,,,,,19650,9172018220 19
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,18,7.7,5.94,51.7,,,,,19649,9172018220 18
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,17,8.3,6.43,56.9,,,,,19648,9172018220 17
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,16,8.9,6.36,57.1,,,,,19647,9172018220 16
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,15,9.8,6.65,61,,,,,19646,9172018220 15
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,14,10.8,6.52,61.2,,,,,19645,9172018220 14
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,13,12.2,6.6,64,,,,,19644,9172018220 13
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,12,14,7.11,71.8,,,,,19643,9172018220 12
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,11,15.2,6.9,71.3,,,,,19642,9172018220 11
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,10,18.2,8.23,90.6,,,,,19641,9172018220 10
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,9,20.4,8.13,93.8,,,,,19640,9172018220 9
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,8,21,8.1,94.4,,,,,19639,9172018220 8
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,7,21.4,8.23,96.7,,,,,19638,9172018220 7
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,6,21.6,8.24,97.3,,,,,19637,9172018220 6
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,5,21.9,8.25,98,,,,,19636,9172018220 5
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,1,22.9,8.35,101,,,,,19635,9172018220 1
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,4,22.3,8.24,98.4,,,,,19634,9172018220 4
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,3,22.8,8.24,99.3,,,,,19633,9172018220 3
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,2,22.9,8.27,100,,,,,19632,9172018220 2
"SUNAPEE, LAKE",SUNAPEE,220,17-Sep-18,0.5,23.4,8.3,101.2,,,,,19631,9172018220 .5
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,27,7.3,4.2,36.2,,,,,19630,9172018210 27
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,26,7.3,4.35,37.5,,,,,19629,9172018210 26
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,25,7.4,4.59,39.6,,,,,19628,9172018210 25
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,24,7.5,5.11,44.2,,,,,19627,9172018210 24
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,23,7.6,5.28,45.8,,,,,19626,9172018210 23
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,22,7.7,5.72,49.7,,,,,19625,9172018210 22
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,21,7.8,6.12,53.4,,,,,19624,9172018210 21
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,20,7.9,6.21,54.3,,,,,19623,9172018210 20
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,19,8,6.49,56.9,,,,,19622,9172018210 19
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,18,8.2,6.61,58.3,,,,,19621,9172018210 18
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,17,8.5,6.73,59.7,,,,,19620,9172018210 17
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,16,8.7,6.69,59.7,,,,,19619,9172018210 16
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,15,9.2,6.82,61.6,,,,,19618,9172018210 15
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,14,9.7,7.51,68.5,,,,,19617,9172018210 14
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,13,10.6,7.78,72.5,,,,,19616,9172018210 13
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,12,11.6,8.66,82.6,,,,,19615,9172018210 12
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,11,13,9.64,94.9,,,,,19614,9172018210 11
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,10,15.7,9.99,104.3,,,,,19613,9172018210 10
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,9,19.9,8.17,93.1,,,,,19509,9172018210 9
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,8,21.3,8.19,96,,,,,19508,9172018210 8
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,7,21.4,8.25,96.9,,,,,19507,9172018210 7
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,6,21.5,8.26,97.3,,,,,19506,9172018210 6
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,5,21.6,8.31,98.1,,,,,19505,9172018210 5
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,4,22,8.32,98.9,,,,,19504,9172018210 4
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,3,22.3,8.35,99.9,,,,,19503,9172018210 3
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,2,22.7,8.36,100.7,,,,,19502,9172018210 2
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,1,22.7,8.38,101,,,,,19501,9172018210 1
"SUNAPEE, LAKE",SUNAPEE,210,17-Sep-18,0.5,22.7,8.41,101.2,,,,,19500,9172018210 .5
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,16,9.4,3.68,33.3,,,,,19499,9172018200 16
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,15,9.4,5.49,49.6,,,,,19498,9172018200 15
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,14,9.9,5.84,53.5,,,,,19497,9172018200 14
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,13,10.6,6.4,59.5,,,,,19496,9172018200 13
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,12,11.7,7.68,73.3,,,,,19495,9172018200 12
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,11,12.9,8.9,87.3,,,,,19494,9172018200 11
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,10,13.6,8.84,88.1,,,,,19493,9172018200 10
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,9,20.8,8.12,94,,,,,19492,9172018200 9
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,8,21.3,8.18,95.6,,,,,19491,9172018200 8
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,7,21.4,8.22,96.4,,,,,19490,9172018200 7
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,6,21.5,8.29,97.4,,,,,19489,9172018200 6
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,5,21.7,8.25,97.4,,,,,19488,9172018200 5
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,4,22,8.35,99,,,,,19487,9172018200 4
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,3,22.1,8.32,98.8,,,,,19486,9172018200 3
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,2,22.1,8.33,99.1,,,,,19485,9172018200 2
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,1,22.2,8.34,99.2,,,,,19484,9172018200 1
"SUNAPEE, LAKE",SUNAPEE,200,17-Sep-18,0.5,22.1,8.37,99.4,,,,,19483,9172018200 .5
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,14,10.4,6.67,61.7,,,,,19612,8132018230 14
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,13,11.2,7.03,66.4,,,,,19611,8132018230 13
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,12,12.2,7.39,71.4,,,,,19610,8132018230 12
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,11,13.3,8.07,80,,,,,19609,8132018230 11
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,10,15,8.86,91.1,,,,,19608,8132018230 10
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,9,17.9,9.21,100.7,,,,,19607,8132018230 9
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,8,21.6,8.42,99.1,,,,,19606,8132018230 8
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,7,23.8,7.8,95.7,,,,,19605,8132018230 7
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,6,23.9,7.78,95.6,,,,,19604,8132018230 6
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,5,24.2,7.84,96.9,,,,,19603,8132018230 5
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,4,24.1,7.87,97.1,,,,,19602,8132018230 4
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,3,24.1,7.89,97.3,,,,,19601,8132018230 3
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,2,24,7.92,97.6,,,,,19600,8132018230 2
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,1,23.9,7.97,97.9,,,,,19599,8132018230 1
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,0.5,23.7,8.03,98.3,,,,,19598,8132018230 .5
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,25,6.4,1.95,16.4,,,,,19597,8132018220 25
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,24,6.5,3.19,26.9,,,,,19596,8132018220 24
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,23,6.6,4.46,37.6,,,,,19595,8132018220 23
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,22,6.7,5.49,46.5,,,,,19594,8132018220 22
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,21,6.9,5.99,50.9,,,,,19593,8132018220 21
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,20,7,5.98,51,,,,,19592,8132018220 20
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,19,7.2,6.53,56,,,,,19591,8132018220 19
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,18,7.5,6.74,58.1,,,,,19590,8132018220 18
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,17,7.9,7.11,62.1,,,,,19589,8132018220 17
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,16,8.7,7.32,65.1,,,,,19588,8132018220 16
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,15,9.6,7.62,69.1,,,,,19587,8132018220 15
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,14,11,8.07,75.9,,,,,19586,8132018220 14
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,13,12,8.04,77.3,,,,,19585,8132018220 13
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,12,12.9,8.15,79.9,,,,,19584,8132018220 12
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,11,14,8.71,87.5,,,,,19583,8132018220 11
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,10,15.5,9.02,93.5,,,,,19582,8132018220 10
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,9,17.3,9.24,99.5,,,,,19581,8132018220 9
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,8,20.7,8.88,102.4,,,,,19580,8132018220 8
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,7,23.9,7.91,97.2,,,,,19579,8132018220 7
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,6,24.3,7.79,96.4,,,,,19578,8132018220 6
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,5,24.3,7.81,96.7,,,,,19577,8132018220 5
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,4,24.3,7.85,97.2,,,,,19576,8132018220 4
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,3,24.3,7.91,97.8,,,,,19575,8132018220 3
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,2,24.2,7.94,98.1,,,,,19574,8132018220 2
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,1,24.1,7.99,98.5,,,,,19573,8132018220 1
"SUNAPEE, LAKE",SUNAPEE,220,13-Aug-18,0.5,23.8,8.08,99.1,,,,,19572,8132018220 .5
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,21,8.3,5.77,50.9,,,,,19571,8132018200 21
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,20,8.4,6.22,55,,,,,19570,8132018200 20
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,19,8.4,6.52,57.6,,,,,19569,8132018200 19
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,18,8.5,6.76,59.8,,,,,19568,8132018200 18
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,17,8.6,6.76,60,,,,,19567,8132018200 17
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,16,8.8,6.9,61.4,,,,,19566,8132018200 16
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,15,9,7.18,64.3,,,,,19565,8132018200 15
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,14,9.5,7.5,68,,,,,19564,8132018200 14
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,13,10,7.68,70.5,,,,,19563,8132018200 13
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,12,10.8,8.51,79.5,,,,,19562,8132018200 12
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,11,12.3,9.22,89.3,,,,,19561,8132018200 11
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,10,14.1,10.15,102.2,,,,,19560,8132018200 10
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,9,17.3,9.95,107.3,,,,,19559,8132018200 9
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,8,21,9.1,105.8,,,,,19558,8132018200 8
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,7,23.2,8.25,100,,,,,19557,8132018200 7
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,6,24.3,7.85,97.2,,,,,19556,8132018200 6
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,5,24.3,7.87,97.4,,,,,19555,8132018200 5
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,4,24.2,7.89,97.6,,,,,19554,8132018200 4
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,3,24.2,7.93,98,,,,,19553,8132018200 3
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,2,24.1,7.96,98.2,,,,,19552,8132018200 2
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,1,24.1,7.99,98.5,,,,,19551,8132018200 1
"SUNAPEE, LAKE",SUNAPEE,200,13-Aug-18,0.5,24,8.03,98.7,,,,,19550,8132018200 .5
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,30,7.1,5.48,46.9,,,,,19482,8132018210 30
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,29,7.2,5.79,49.6,,,,,19481,8132018210 29
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,28,7.2,5.97,51.2,,,,,19480,8132018210 28
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,27,7.2,6.56,56.3,,,,,19479,8132018210 27
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,26,7.3,6.92,59.5,,,,,19478,8132018210 26
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,25,7.3,6.93,59.6,,,,,19477,8132018210 25
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,24,7.4,6.87,59.2,,,,,19476,8132018210 24
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,23,7.4,6.94,59.8,,,,,19475,8132018210 23
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,22,7.5,7.07,61.1,,,,,19474,8132018210 22
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,21,7.6,7.31,63.3,,,,,19473,8132018210 21
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,20,7.8,7.68,66.8,,,,,19472,8132018210 20
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,19,7.9,7.84,68.5,,,,,19471,8132018210 19
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,18,8.2,7.86,69,,,,,19470,8132018210 18
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,17,8.2,7.79,68.5,,,,,19469,8132018210 17
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,16,8.5,8.16,72.2,,,,,19468,8132018210 16
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,15,9,8.63,77.3,,,,,19467,8132018210 15
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,14,9.5,8.64,78.3,,,,,19466,8132018210 14
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,13,10,8.71,79.9,,,,,19465,8132018210 13
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,12,10.9,9.22,86.4,,,,,19464,8132018210 12
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,11,12.6,9.69,94.4,,,,,19463,8132018210 11
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,10,14.4,10,101.2,,,,,19462,8132018210 10
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,9,16.6,9.74,103.6,,,,,19461,8132018210 9
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,8,20.4,9.32,106.9,,,,,19460,8132018210 8
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,7,24.2,7.91,97.6,,,,,19459,8132018210 7
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,6,24.1,7.93,97.8,,,,,19458,8132018210 6
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,5,24.1,7.95,98,,,,,19457,8132018210 5
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,4,24.1,7.99,98.4,,,,,19456,8132018210 4
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,3,24,8.02,98.6,,,,,19455,8132018210 3
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,2,24,8.04,98.9,,,,,19454,8132018210 2
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,1,23.8,8.09,99.2,,,,,19453,8132018210 1
"SUNAPEE, LAKE",SUNAPEE,210,13-Aug-18,0.5,23.7,8.14,99.5,,,,,19452,8132018210 .5
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,23,8.8,3.95,35.2,,,,,19451,8132018230 23
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,22,8.8,4.11,36.7,,,,,19450,8132018230 22
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,21,8.8,4.63,41.3,,,,,19449,8132018230 21
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,20,8.9,4.95,44.2,,,,,19448,8132018230 20
"SUNAPEE, LAKE",SUNAPEE,230,13-Aug-18,19,9,5.24,46.9,,,,,19447,8132018230 19
